"checkins","latitude","longitude","name"
"Allstate Arena","42.0051087914508","-87.8877282142639","32989"
"Bob-O's Hot Dogs","41.95232","-87.834073","1137"
"Candlewood Suites Chicago-O`hare","41.952235","-87.884665","3884"
"Metropolis Coffee Company","41.994539","-87.65726","0"
"Chicago Painters Inc","41.9953178832939","-87.7131915092468","0"
"My Chicago Moving","41.9956120848656","-87.7128146588802","366"
"Massage Envy - Chicago Lakeview - Wrigleyville","41.949512","-87.664433","2923"
"Smoque BBQ","41.9501405954361","-87.7277","0"
"Chicago Truck Accident Lawyer","41.9975823640456","-87.7191352844238","14634"
"Superdawg Drive-In","41.9966871166667","-87.7869039773941","7"
"Chicago Eye Care Center","41.99649681836","-87.7135887435729","5152"
"San Soo Gab San","41.9775221612233","-87.6888531446457","0"
"Chicago Limos Inn Black Car Services","41.996593","-87.718063","5033"
"Spacca Napoli Pizzeria","41.96326915","-87.6737587833333","1653"
"Aroy Thai","41.9666731574069","-87.6791208286394","9847"
"Green Mill Cocktail Lounge","41.9691748403364","-87.6598262786865","9"
"Kumon Math and Reading Center of Chicago - Lincoln Avenue","41.995991","-87.716984","425"
"Chicago Center For Torah & Chesed","41.9974187240631","-87.7084072317346","10773"
"Garrett Popcorn Shops","41.9788581095883","-87.907018661499","1965"
"Wizard World - Chicago Comic Con","41.979529664894","-87.8610105275051","3355"
"Embassy Suites by Hilton Chicago O'Hare Rosemont","41.9790953870386","-87.8631417453289","1306"
"Chicago O'Hare USO","41.9764653463943","-87.904314994812","11467"
"Candlewood Suites Chicago-O`hare","41.952235","-87.884665","11368"
"Kids on the Fly, Chicago Children's Museum at O'Hare (ORD)","41.9759738342096","-87.9049457238858","1137"
"Kuma's Corner","41.9394777504051","-87.7003544569016","346"
"Hilton Chicago O'Hare Airport","41.977532","-87.90397","14826"
"Chicago News and Gifts","41.973901","-87.889343","10"
"Aereoporto Di Chicago","41.974415","-87.89715","14"
"Lou Malnati's Pizzeria","42.0270132812582","-88.0794954299927","6210"
"Chicago-Amsterdam Airplane KLM","41.974264","-87.892275","2"
"Pequod's Pizzeria","41.92189","-87.66452","21042"
"Chicago O'Hare Star Alliance Lounge","41.972312","-87.889169","3"
"Chicago Turkish Airlines CIP Lounge","41.974029272998","-87.8911040985679","18"
"University of Chicago Quad","41.7895528915609","-87.5997018814087","2460"
"Chicago Women's Park & Gardens","41.8578472907408","-87.6221680641174","1702"
"Holiday Inn Express & Suites Chicago-Midway Airport","41.7745858937812","-87.743410623371","856"
"Chicago","41.805216","-87.700334","0"
"United Center","41.8806172030016","-87.6741170883179","149983"
"Lou Malnati's Pizzeria","41.8714197184384","-87.6276688313789","12330"
"Chicago Public Library","41.808522","-87.677226","2"
"Jim's Original Hot Dog","41.865778637299","-87.645098967396","8897"
"Chicago Public Library","41.8065891988605","-87.6772094581521","11"
"Chicago Composite Initiative","41.8056536483135","-87.6959824562073","4"
"Chicago South Loop Hotel","41.8453561754845","-87.6276109929297","3527"
"Soldier Field","41.8618905409924","-87.6167607307434","66326"
"Chicago International Produce Market","41.8455108234383","-87.673993167527","617"
"Willis Tower","41.8787200200902","-87.6360511779785","74703"
"Girl & the Goat","41.884339","-87.647825","23576"
"Frank's Chicago Shrimp","41.81226489","-87.70727661","140"
"The Art Institute of Chicago","41.879570763814","-87.6236593723297","62456"
"Buddy Guy's Legends","41.8731006475723","-87.6261457278025","8279"
"Millennium Park","41.8827579565002","-87.6234769821167","111226"
"Chicago Public Library","41.7935124690815","-87.6941934227943","30"
"Garrett Popcorn Shops","41.8780130554217","-87.6281332969666","3376"
"City of Chicago Public Records","41.8062433097401","-87.7051161596304","101"
"Wrigley Field","41.9482558697294","-87.6554703712463","186405"
"Toro Sushi","41.92907","-87.642522","3948"
"Big Star","41.9092278850329","-87.677267233751","60024"
"Chicago Lashes","42.0617815","-87.751998","0"
"Chicago Smile Center","42.0543031","-87.7440044","0"
"Gibsons Bar & Steakhouse","41.9015776649315","-87.6279917613752","14062"
"Portillo's","41.89343668892","-87.6314324140549","50785"
"Chicago Jewish Funerals","42.0418716237402","-87.7470306193129","80"
"Chicago Exotics Animal Hospital","42.0407012148371","-87.7219539292279","174"
"Giordano's","41.8956988231585","-87.6257829815746","21701"
"Lou Malnati's Pizzeria","41.8902719926785","-87.6338946819305","19582"
"Chicago Exotics Animal Hospital","42.0406878041547","-87.7219676971435","3"
"Kidd Joe's Tat Cave","41.9461317737427","-87.8069612028242","316"
"Gino's East","41.985075923036","-87.843955899045","3404"
"Bije's","41.9524644342381","-87.8144259346585","428"
"Chicago City Oilers","41.997816","-87.806395","0"
"Chicago Public Library - Dunning Branch","41.9430968760164","-87.8139513731003","380"
"Chicago Cycle","42.0123154679618","-87.715744972229","91"
"Chicago Locker Room","42.0096701041297","-87.7134636629712","274"
"Spacca Napoli Pizzeria","41.96326915","-87.6737587833333","5033"
"San Soo Gab San","41.9775221612233","-87.6888531446457","5152"
"Green Mill Cocktail Lounge","41.9691748403364","-87.6598262786865","9847"
"Aroy Thai","41.9666731574069","-87.6791208286394","1653"
"Chicago Truck Accident Lawyer","41.9975823640456","-87.7191352844238","0"
"Tank Noodle","41.9732642236214","-87.6595844801111","10773"
"Chicago Towing","41.9781562417027","-87.7571582794189","0"
"Candlewood Suites Chicago-O`hare","41.952235","-87.884665","1137"
"My Chicago Moving","41.9956120848656","-87.7128146588802","0"
"Massage Envy - Chicago Lakeview - Wrigleyville","41.949512","-87.664433","366"
"Chicago Eye Care Center","41.99649681836","-87.7135887435729","7"
"Chicago Limos Inn Black Car Services","41.996593","-87.718063","0"
"Kumon Math and Reading Center of Chicago - Lincoln Avenue","41.995991","-87.716984","9"
"Chicago Center For Torah & Chesed","41.9974187240631","-87.7084072317346","425"
"Kids on the Fly, Chicago Children's Museum at O'Hare (ORD)","41.9759738342096","-87.9049457238858","346"
